SITE,DATE,N CHICKS,AGE CHICKS,N DELIVERIES,N*A
78,17-Jul-18,1,1,1,1
78,19-Jul-18,2,2,2,4
78,20-Jul-18,2,3,2,6
78,21-Jul-18,2,4,6,8
78,23-Jul-18,2,5,6,10
78,24-Jul-18,2,6,6,12
78,25-Jul-18,2,7,7,14
78,26-Jul-18,2,8,4,16
78,27-Jul-18,2,9,5,18
78,28-Jul-18,2,10,5,20
78,29-Jul-18,2,11,3,22
78,30-Jul-18,2,12,7,24
78,31-Jul-18,2,13,7,26
78,01-Aug-18,2,14,9,28
78,02-Aug-18,2,15,11,30
78,03-Aug-18,2,16,4,32
78,05-Aug-18,2,17,3,34
78,06-Aug-18,2,18,6,36
78,07-Aug-18,2,19,8,38
78,08-Aug-18,2,20,11,40
78,09-Aug-18,2,21,7,42
77,17-Jul-18,2,1,2,2
77,18-Jul-18,2,2,2,4
77,19-Jul-18,3,3,4,9
77,20-Jul-18,3,4,6,12
77,21-Jul-18,3,5,7,15
77,22-Jul-18,3,6,8,18
77,23-Jul-18,3,7,5,21
77,24-Jul-18,3,8,7,24
77,25-Jul-18,3,9,3,27
77,26-Jul-18,3,10,6,30
77,27-Jul-18,3,11,3,33
77,28-Jul-18,3,12,5,36
77,29-Jul-18,3,13,10,39
77,30-Jul-18,3,14,10,42
77,31-Jul-18,3,15,14,45
77,01-Aug-18,3,16,9,48
77,02-Aug-18,3,17,8,51
77,03-Aug-18,2,18,6,36
77,04-Aug-18,2,19,4,38
77,05-Aug-18,1,20,2,20
77,06-Aug-18,1,21,5,21
77,07-Aug-18,1,22,3,22
77,08-Aug-18,1,23,2,23
77,09-Aug-18,1,24,4,24
77,10-Aug-18,1,25,1,25
77,11-Aug-18,1,26,1,26
77,12-Aug-18,1,27,2,27
77,13-Aug-18,1,28,5,28
77,14-Aug-18,1,29,4,29
77,15-Aug-18,1,30,1,30
80,17-Jul-18,3,4,2,12
80,18-Jul-18,3,5,1,15
80,19-Jul-18,3,6,1,18
80,20-Jul-18,3,7,5,21
80,21-Jul-18,3,8,4,24
80,22-Jul-18,3,9,3,27
80,23-Jul-18,3,10,4,30
80,24-Jul-18,3,11,6,33
80,25-Jul-18,3,12,1,36
80,26-Jul-18,3,13,2,39
80,27-Jul-18,3,14,3,42
80,28-Jul-18,3,15,4,45
80,29-Jul-18,3,16,6,48
80,30-Jul-18,3,17,8,51
80,31-Jul-18,3,18,6,54
80,01-Aug-18,3,19,8,57
80,02-Aug-18,3,20,6,60
80,03-Aug-18,3,21,2,63
75,12-Jul-18,1,1,1,1
75,13-Jul-18,2,2,5,4
75,14-Jul-18,2,3,6,6
75,15-Jul-18,2,4,5,8
75,16-Jul-18,2,5,7,10
75,17-Jul-18,2,6,7,12
75,18-Jul-18,2,7,7,14
75,19-Jul-18,2,8,1,16
75,23-Jul-18,2,12,4,24
75,24-Jul-18,2,13,5,26
75,25-Jul-18,2,14,6,28
75,26-Jul-18,2,15,7,30
75,27-Jul-18,1,16,4,16
75,28-Jul-18,1,17,3,17
75,29-Jul-18,1,18,5,18
75,30-Jul-18,1,19,3,19
75,31-Jul-18,1,20,5,20
75,01-Aug-18,1,21,4,21
75,02-Aug-18,1,22,3,22
75,03-Aug-18,1,23,5,23
75,04-Aug-18,1,24,4,24
75,05-Aug-18,1,25,3,25
75,06-Aug-18,1,26,4,26
75,07-Aug-18,1,27,4,27
75,09-Aug-18,1,29,3,29
75,10-Aug-18,1,30,2,30
75,14-Aug-18,1,34,1,34
75,15-Aug-18,1,35,1,35
75,16-Aug-18,1,36,2,36
75,17-Aug-18,1,37,1,37
53,18-Jul-18,2,2,2,4
53,19-Jul-18,3,3,3,9
53,20-Jul-18,3,4,6,12
53,21-Jul-18,3,5,7,15
53,22-Jul-18,3,6,7,18
53,23-Jul-18,3,7,5,21
53,24-Jul-18,3,8,7,24
53,25-Jul-18,3,9,8,27
53,26-Jul-18,3,10,7,30
53,27-Jul-18,3,11,7,33
53,28-Jul-18,3,12,6,36
53,29-Jul-18,3,13,6,39
53,30-Jul-18,3,14,9,42
53,31-Jul-18,3,15,9,45
53,01-Aug-18,3,16,7,48
47,25-Jul-18,3,4,3,12
47,26-Jul-18,3,5,4,15
47,27-Jul-18,3,6,6,18
47,28-Jul-18,3,7,6,21
47,29-Jul-18,3,8,7,24
47,30-Jul-18,3,9,7,27
47,31-Jul-18,3,10,4,30
97,15-Jul-18,1,1,1,1
97,16-Jul-18,1,2,2,2
97,17-Jul-18,1,3,2,3
97,18-Jul-18,2,4,2,8
97,19-Jul-18,3,5,1,15
97,20-Jul-18,3,6,1,18
97,21-Jul-18,3,7,2,21
97,22-Jul-18,3,8,2,24
97,23-Jul-18,3,9,4,27
97,24-Jul-18,3,10,4,30
97,25-Jul-18,3,11,3,33
97,26-Jul-18,2,12,2,24
97,27-Jul-18,2,13,4,26
97,28-Jul-18,2,14,4,28
97,29-Jul-18,2,15,3,30
97,30-Jul-18,2,16,2,32
97,31-Jul-18,2,17,2,34
97,01-Aug-18,2,18,3,36
97,02-Aug-18,2,19,3,38
97,03-Aug-18,2,20,3,40
97,04-Aug-18,2,21,4,42
97,05-Aug-18,2,22,4,44
97,06-Aug-18,2,23,8,46
57,17-Jul-18,1,1,3,1
57,18-Jul-18,2,2,2,4
57,19-Jul-18,2,3,2,6
57,20-Jul-18,2,4,3,8
57,21-Jul-18,2,5,6,10
57,22-Jul-18,2,6,3,12
57,23-Jul-18,2,7,4,14
57,24-Jul-18,2,8,5,16
57,25-Jul-18,2,9,3,18
57,26-Jul-18,2,10,4,20
147,17-Jul-18,2,3,3,6
147,18-Jul-18,2,4,3,8
147,19-Jul-18,1,5,3,5
147,20-Jul-18,1,6,4,6
3,19-Jul-18,3,4,4,12
3,20-Jul-18,4,5,5,20
3,21-Jul-18,4,6,10,24
3,22-Jul-18,4,7,7,28
3,23-Jul-18,4,8,7,32
3,24-Jul-18,4,9,10,36
3,25-Jul-18,4,10,7,40
3,26-Jul-18,4,11,7,44
3,27-Jul-18,4,12,6,48
3,28-Jul-18,4,13,9,52
3,29-Jul-18,4,14,7,56
3,30-Jul-18,4,15,4,60
3,06-Aug-18,3,22,2,66
3,07-Aug-18,3,23,2,69
3,08-Aug-18,3,24,4,72
3,09-Aug-18,2,25,1,50
3,10-Aug-18,2,26,1,52
3,11-Aug-18,2,27,2,54
18,14-Jul-18,2,2,4,4
18,15-Jul-18,3,3,6,9
18,16-Jul-18,3,4,6,12
18,17-Jul-18,4,5,8,20
18,18-Jul-18,4,6,5,24
18,19-Jul-18,4,7,6,28
18,20-Jul-18,4,8,5,32
18,21-Jul-18,4,9,7,36
18,22-Jul-18,4,10,8,40
18,23-Jul-18,4,11,7,44
18,24-Jul-18,4,12,7,48
18,25-Jul-18,4,13,8,52
18,26-Jul-18,4,14,9,56
18,27-Jul-18,4,15,7,60
18,28-Jul-18,4,16,8,64
18,29-Jul-18,4,17,11,68
18,30-Jul-18,4,18,7,72
18,31-Jul-18,3,19,12,57
18,01-Aug-18,3,20,6,60
18,02-Aug-18,3,21,8,63
18,03-Aug-18,3,22,10,66
18,04-Aug-18,3,23,12,69
18,05-Aug-18,3,24,14,72
18,06-Aug-18,3,25,11,75
18,07-Aug-18,3,26,10,78
18,08-Aug-18,3,27,7,81
18,09-Aug-18,3,28,7,84
18,10-Aug-18,3,29,3,87
18,12-Aug-18,3,31,1,93
22,13-Jul-18,2,2,4,4
22,14-Jul-18,3,3,4,9
22,15-Jul-18,3,4,5,12
22,16-Jul-18,3,5,5,15
22,17-Jul-18,3,6,5,18
22,18-Jul-18,3,7,7,21
22,19-Jul-18,3,8,6,24
22,20-Jul-18,3,9,9,27
22,21-Jul-18,3,10,7,30
22,22-Jul-18,3,11,6,33
22,23-Jul-18,3,12,6,36
22,24-Jul-18,3,13,7,39
29,15-Jul-18,2,2,7,4
29,16-Jul-18,3,3,3,9
29,17-Jul-18,2,4,2,8
29,24-Jul-18,1,11,3,11
29,25-Jul-18,1,12,6,12
29,26-Jul-18,1,13,4,13
29,27-Jul-18,1,14,6,14
29,28-Jul-18,1,15,7,15
29,29-Jul-18,1,16,7,16
29,30-Jul-18,1,17,8,17
29,01-Aug-18,1,18,3,18
29,02-Aug-18,1,19,8,19
29,03-Aug-18,1,20,7,20
29,04-Aug-18,1,21,8,21
29,05-Aug-18,1,22,7,22
29,06-Aug-18,1,23,9,23
29,07-Aug-18,1,24,1,24
30,19-Jul-18,3,4,3,12
30,20-Jul-18,3,5,5,15
30,21-Jul-18,3,6,5,18
30,22-Jul-18,3,7,7,21
30,23-Jul-18,3,8,5,24
30,24-Jul-18,3,9,2,27
30,25-Jul-18,3,10,1,30
30,26-Jul-18,3,11,2,33
30,27-Jul-18,3,12,2,36
30,28-Jul-18,3,13,1,39
30,29-Jul-18,3,14,2,42
30,01-Aug-18,3,17,4,51
33,20-Jul-18,2,1,5,2
33,21-Jul-18,2,2,3,4
33,25-Jul-18,2,5,2,10
33,26-Jul-18,2,6,4,12
33,27-Jul-18,2,7,7,14
33,28-Jul-18,2,8,7,16
33,29-Jul-18,2,9,6,18
33,30-Jul-18,2,10,5,20
33,31-Jul-18,2,11,8,22
33,01-Aug-18,2,12,9,24
33,02-Aug-18,2,13,13,26
33,03-Aug-18,2,14,10,28
33,04-Aug-18,2,15,9,30
33,05-Aug-18,2,16,12,32
33,06-Aug-18,2,17,12,34
33,08-Aug-18,2,19,4,38
33,09-Aug-18,2,20,4,40
33,10-Aug-18,2,21,4,42
33,11-Aug-18,2,22,7,44
33,12-Aug-18,2,23,4,46
33,13-Aug-18,2,24,10,48
45,19-Jul-18,3,2,2,6
45,20-Jul-18,3,3,5,9
45,21-Jul-18,3,4,4,12
45,22-Jul-18,3,5,9,15
45,23-Jul-18,3,6,7,18
45,24-Jul-18,3,7,5,21
45,25-Jul-18,3,8,9,24
45,26-Jul-18,3,9,8,27
45,27-Jul-18,3,10,6,30
45,06-Aug-18,3,21,10,63
45,07-Aug-18,3,22,9,66
45,08-Aug-18,3,23,15,69
45,09-Aug-18,3,24,12,72
45,10-Aug-18,3,25,12,75
45,11-Aug-18,3,26,4,78
45,12-Aug-18,3,27,5,81
45,13-Aug-18,3,28,7,84
45,14-Aug-18,3,29,2,87
